Raw:-8.67,-7.59,11.96,-8.67,-7.59,11.96,-8.67,-7.59,11.96
Raw:-11.58,1.00,5.21,-11.58,1.00,5.21,-11.58,1.00,5.21
Raw:-12.96,1.76,9.97,-12.96,1.76,9.97,-12.96,1.76,9.97
Raw:-14.26,2.22,6.83,-14.26,2.22,6.83,-14.26,2.22,6.83
Raw:-4.52,-3.91,11.20,-4.52,-3.91,11.20,-4.52,-3.91,11.20
Raw:-3.07,3.37,-0.69,-3.07,3.37,-0.69,-3.07,3.37,-0.69
Raw:-5.37,3.76,0.23,-5.37,3.76,0.23,-5.37,3.76,0.23
Raw:-2.38,5.21,-2.53,-2.38,5.21,-2.53,-2.38,5.21,-2.53
Raw:0.08,0.77,-3.37,0.08,0.77,-3.37,0.08,0.77,-3.37
Raw:6.67,-5.44,1.99,6.67,-5.44,1.99,6.67,-5.44,1.99
Raw:13.96,-10.89,-0.54,13.96,-10.89,-0.54,13.96,-10.89,-0.54
Raw:12.88,-10.35,5.98,12.88,-10.35,5.98,12.88,-10.35,5.98
Raw:9.89,-5.29,2.07,9.89,-5.29,2.07,9.89,-5.29,2.07
Raw:20.09,-7.29,-6.52,20.09,-7.29,-6.52,20.09,-7.29,-6.52
Raw:-7.98,-3.37,3.68,-7.98,-3.37,3.68,-7.98,-3.37,3.68
Raw:8.21,-5.75,1.00,8.21,-5.75,1.00,8.21,-5.75,1.00
Raw:10.12,-12.81,6.44,10.12,-12.81,6.44,10.12,-12.81,6.44
Raw:2.53,-8.05,-4.14,2.53,-8.05,-4.14,2.53,-8.05,-4.14
Raw:2.38,-6.60,-2.53,2.38,-6.60,-2.53,2.38,-6.60,-2.53
Raw:1.23,-8.82,-0.15,1.23,-8.82,-0.15,1.23,-8.82,-0.15
Raw:5.29,-11.96,-1.53,5.29,-11.96,-1.53,5.29,-11.96,-1.53
Raw:2.91,-11.50,-2.53,2.91,-11.50,-2.53,2.91,-11.50,-2.53
Raw:2.76,-12.19,-0.84,2.76,-12.19,-0.84,2.76,-12.19,-0.84
Raw:5.21,-14.26,0.54,5.21,-14.26,0.54,5.21,-14.26,0.54
Raw:6.29,-10.12,-0.84,6.29,-10.12,-0.84,6.29,-10.12,-0.84
Raw:13.96,-22.39,7.75,13.96,-22.39,7.75,13.96,-22.39,7.75
Raw:2.30,-5.90,-3.22,2.30,-5.90,-3.22,2.30,-5.90,-3.22
Raw:1.53,-9.20,-1.46,1.53,-9.20,-1.46,1.53,-9.20,-1.46
Raw:0.00,-9.97,-2.38,0.00,-9.97,-2.38,0.00,-9.97,-2.38
Raw:-2.76,-5.83,-3.68,-2.76,-5.83,-3.68,-2.76,-5.83,-3.68
Raw:-5.90,-5.06,-3.07,-5.90,-5.06,-3.07,-5.90,-5.06,-3.07
Raw:-6.83,-7.59,-0.54,-6.83,-7.59,-0.54,-6.83,-7.59,-0.54
Raw:-13.19,-8.82,2.76,-13.19,-8.82,2.76,-13.19,-8.82,2.76
Raw:2.30,-9.43,0.54,2.30,-9.43,0.54,2.30,-9.43,0.54
Raw:0.54,-9.89,-1.53,0.54,-9.89,-1.53,0.54,-9.89,-1.53
Raw:-1.53,-12.04,-0.15,-1.53,-12.04,-0.15,-1.53,-12.04,-0.15
Raw:-1.23,-12.27,-1.00,-1.23,-12.27,-1.00,-1.23,-12.27,-1.00
